Country Name,Country Code,is_oecd,Region,IncomeGroup,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Channel Islands,CHI,FALSE,Europe & Central Asia,High income,70.6397804878,70.7344146341,70.830097561,70.9333170732,71.0475853659,71.1719268293,71.2993414634,71.4218536585,71.5359756098,71.6407073171,71.7390487805,71.836,71.9380487805,72.0501707317,72.1773658537,72.3246097561,72.493902439,72.6852439024,72.8931219512,73.1160243902,73.3449512195,73.5739268293,73.7959268293,74.0064634146,74.2065365854,74.3981219512,74.5877317073,74.7818292683,74.9854634146,75.1985853659,75.4182439024,75.6369268293,75.8496829268,76.053,76.2473902439,76.4368536585,76.6278780488,76.827,77.0396585366,77.2683414634,77.5145121951,77.7781707317,78.0557804878,78.3398292683,78.6253170732,78.9032195122,79.1665365854,79.410804878,79.6330243902,79.8327073171,80.0103658537,80.1695121951,80.3186585366,80.4628292683,80.6064878049,,
Czech Republic,CZE,TRUE,Europe & Central Asia,High income,70.3487804878,70.5126829268,69.7868292683,70.3043902439,70.4595121951,70.1631707317,70.3848780488,70.2641463415,69.8407317073,69.3670731707,69.4402439024,69.6770731707,70.1765853659,70.0226829268,70.0865853659,70.4146341463,70.5326829268,70.5734146341,70.643902439,70.7495121951,70.2780487805,70.722195122,70.807804878,70.5914634146,70.8375609756,71.0463414634,70.9973170732,71.4456097561,71.6414634146,71.6756097561,71.383902439,71.8982926829,72.2717073171,72.767804878,72.9726829268,73.0748780488,73.7146341463,73.8248780488,74.5146341463,74.6682926829,74.9682926829,75.1731707317,75.2219512195,75.1707317073,75.7219512195,75.9243902439,76.5243902439,76.7243902439,76.9756097561,77.0780487805,77.4243902439,77.8731707317,78.0756097561,78.1756097561,78.2756097561,,
Slovak Republic,SVK,TRUE,Europe & Central Asia,High income,69.9759268293,70.2877560976,70.4943414634,70.6057073171,70.6363658537,70.6033658537,70.5242439024,70.4195365854,70.3093414634,70.2102195122,70.1387317073,70.1044390244,70.1033658537,70.1284878049,70.1783170732,70.246804878,70.323902439,70.3995609756,70.4667073171,70.5208536585,70.4085365854,70.6292682927,70.6890243902,70.4790243902,70.7509756098,70.7346341463,71.0212195122,71.0887804878,71.207804878,71.0263414634,70.9326829268,70.8829268293,71.7951219512,72.4487804878,72.3,72.2536585366,72.6536585366,72.7048780488,72.5512195122,72.9024390244,73.0512195122,73.4024390244,73.6048780488,73.6048780488,73.9585365854,73.9048780488,74.2048780488,74.2073170732,74.7048780488,74.9097560976,75.112195122,75.9585365854,76.1097560976,76.412195122,76.7146341463,,
North America,NAC,FALSE,,,69.8936037571,70.3680173824,70.232706802,70.0503873907,70.3132050502,70.3667219118,70.3780704719,70.7143822609,70.1762415741,70.6947644224,70.985479605,71.2887408708,71.3247139166,71.5285942306,72.079431015,72.6938424796,72.9534592166,73.3496601737,73.4704838322,73.9082307966,73.752837802,74.1535356677,74.490437455,74.6178629823,74.7358062773,74.7344828279,74.7942257421,74.9607682139,74.968354954,75.221622012,75.4312646802,75.5847222166,75.7875360755,75.6457449563,75.8428975697,75.8558452796,76.2454658154,76.632511341,76.7862188124,76.8095480779,76.8924319641,77.0974743488,77.1976618026,77.3126549124,77.7493524163,77.7644442579,77.9567555253,78.2484460493,78.3138046718,78.6592173451,78.8259382028,78.9106037425,79.0229710547,79.1340646758,79.2441018256,,
France,FRA,TRUE,Europe & Central Asia,High income,69.8682926829,70.1170731707,70.3146341463,70.5146341463,70.6634146341,70.812195122,70.9609756098,71.1609756098,71.3097560976,71.4585365854,71.6585365854,71.9073170732,72.1073170732,72.356097561,72.6048780488,72.8536585366,73.1024390244,73.3512195122,73.6024390244,73.8512195122,74.0512195122,74.3,74.5,74.8,75,75.3,75.6,75.8,76.1,76.3487804878,76.6,76.8487804878,77.1,77.3,77.6487804878,77.7512195122,77.9536585366,78.3048780488,78.6048780488,78.756097561,79.056097561,79.1585365854,79.2609756098,79.1146341463,80.1634146341,80.1634146341,80.812195122,81.112195122,81.2146341463,81.4146341463,81.6634146341,82.1146341463,81.9682926829,82.2195121951,82.3731707317,,
Lithuania,LTU,FALSE,Europe & Central Asia,High income,69.8473170732,70.1026829268,69.0953658537,70.2043902439,71.5090243902,71.3251219512,71.5202439024,71.603902439,71.3136585366,70.9285365854,70.8043902439,71.7353658537,71.0246341463,71.332195122,71.2441463415,70.8673170732,70.9580487805,70.8095121951,70.6046341463,70.482195122,70.482195122,70.4607317073,70.8368292683,70.777804878,70.32,70.5012195122,72.0807317073,71.9346341463,71.762195122,71.4253658537,71.1607317073,70.3641463415,70.2343902439,68.9104878049,68.5302439024,69.0063414634,70.1080487805,70.9090243902,71.2195121951,71.5707317073,72.0195121951,71.6585365854,71.7609756098,72.0609756098,71.9609756098,71.2536585366,71.056097561,70.9,71.812195122,72.9146341463,73.2682926829,73.5634146341,73.8634146341,73.9146341463,73.9658536585,,
Latvia,LVA,FALSE,Europe & Central Asia,High income,69.7868292683,70.0324390244,69.4304878049,69.8290243902,71.0280487805,70.7265853659,70.7073170732,70.393902439,70.0429268293,69.7968292683,69.8353658537,70.1646341463,69.8787804878,69.8134146341,69.7409756098,68.9253658537,69.047804878,69.1046341463,68.987804878,68.4956097561,68.8085365854,68.7863414634,69.3282926829,69.1190243902,69.1629268293,69.2914634146,70.6224390244,70.6929268293,70.6153658537,70.1553658537,69.2731707317,69.0324390244,68.396097561,66.7226829268,65.6643902439,66.3912195122,68.7765853659,69.3492682927,69.012195122,69.7429268293,70.3146341463,70.7609756098,70.9609756098,71.2658536585,72.0268292683,71.356097561,70.8658536585,71.0195121951,72.4195121951,73.0804878049,73.4829268293,73.5756097561,73.7780487805,73.9829268293,74.187804878,,
United States,USA,TRUE,North America,High income,69.7707317073,70.2707317073,70.1195121951,69.9170731707,70.1658536585,70.2146341463,70.212195122,70.5609756098,69.9512195122,70.5073170732,70.8073170732,71.1073170732,71.156097561,71.356097561,71.956097561,72.6048780488,72.856097561,73.256097561,73.356097561,73.8048780488,73.6097560976,74.0097560976,74.3609756098,74.4634146341,74.5634146341,74.5634146341,74.6146341463,74.7658536585,74.7658536585,75.0170731707,75.2146341463,75.3658536585,75.6170731707,75.4195121951,75.6195121951,75.6219512195,76.0268292683,76.4292682927,76.5804878049,76.5829268293,76.6365853659,76.8365853659,76.9365853659,77.0365853659,77.487804878,77.487804878,77.687804878,77.987804878,78.0390243902,78.3902439024,78.5414634146,78.6414634146,78.7414634146,78.8414634146,78.9414634146,,
Belgium,BEL,TRUE,Europe & Central Asia,High income,69.7019512195,70.5209756098,70.2195121951,70.0514634146,70.7551219512,70.6253658537,70.7063414634,71.0129268293,70.6931707317,70.7648780488,70.9719512195,71.0604878049,71.4051219512,71.6353658537,71.9858536585,71.9712195122,72.1197560976,72.773902439,72.6980487805,73.1936585366,73.2070731707,73.6217073171,73.8880487805,73.8690243902,74.4048780488,74.5202439024,74.7317073171,75.3658536585,75.5658536585,75.6326829268,76.0519512195,76.192195122,76.3512195122,76.3453658537,76.6917073171,76.8407317073,77.1873170732,77.3707317073,77.4731707317,77.6195121951,77.7219512195,77.9731707317,78.0756097561,78.1292682927,78.8780487805,78.9804878049,79.3804878049,79.7829268293,79.6804878049,79.9829268293,80.1829268293,80.5853658537,80.3853658537,80.587804878,80.587804878,,
Ireland,IRL,TRUE,Europe & Central Asia,High income,69.6917560976,69.9041219512,70.0879756098,70.249804878,70.3945853659,70.5252926829,70.6414146341,70.7435121951,70.8330731707,70.9151219512,70.9962195122,71.0813658537,71.1745853659,71.2808780488,71.4032926829,71.5462926829,71.7128780488,71.9000487805,72.1047560976,72.3230243902,72.5493658537,72.7777804878,73.0037804878,73.2223902439,73.4345853659,73.640902439,73.848804878,74.0633170732,74.2864390244,74.5156097561,74.7413170732,74.9505365854,75.1362439024,75.2964390244,75.4376341463,75.5713414634,75.8317073171,75.9853658537,76.1804878049,76.0829268293,76.5365853659,77.1341463415,77.6341463415,78.1390243902,78.5390243902,78.943902439,79.2414634146,79.6414634146,80.0951219512,80.1902439024,80.743902439,80.7463414634,80.8951219512,81,81.1536585366,,
Cyprus,CYP,FALSE,Europe & Central Asia,High income,69.5939268293,69.9278292683,70.2512439024,70.5646829268,70.8691219512,71.1650731707,71.4525365854,71.731,72.0024878049,72.2659756098,72.5229756098,72.7729756098,73.0169756098,73.2544634146,73.4854634146,73.7104390244,73.9304146341,74.1448780488,74.3538536585,74.5578292683,74.756804878,74.9512926829,75.1407560976,75.3252439024,75.5062195122,75.6827073171,75.8561707317,76.0251219512,76.1910731707,76.3540243902,76.5139512195,76.6713902439,76.8263170732,76.9782682927,77.1277073171,77.2746585366,77.419097561,77.5610243902,77.7009268293,77.837804878,77.9716829268,78.1005609756,78.2239512195,78.3458536585,78.4657560976,78.5896097561,78.7228780488,78.8685121951,79.0275365854,79.1994878049,79.3819512195,79.5715121951,79.7622682927,79.9497804878,80.1315609756,,
Germany,DEU,TRUE,Europe & Central Asia,High income,69.3129512195,69.5099512195,69.6925121951,69.860097561,70.0137073171,70.1518292683,70.2709268293,70.3735121951,70.465097561,70.5506829268,70.6397804878,70.7428780488,70.867,71.0166829268,71.1954146341,71.4017317073,71.6341463415,71.8836829268,72.142804878,72.4085365854,72.677902439,72.9523902439,73.2309756098,73.5121463415,73.7928536585,74.0645365854,74.3216341463,74.5596097561,74.7789512195,74.9826829268,75.1773658537,75.3195121951,75.8195121951,75.8707317073,76.2707317073,76.4219512195,76.6731707317,77.0731707317,77.4756097561,77.7268292683,77.9268292683,78.3292682927,78.2292682927,78.3804878049,78.6804878049,78.9317073171,79.1317073171,79.5341463415,79.7365853659,79.8365853659,79.987804878,80.7414634146,80.8926829268,80.843902439,80.843902439,,
European Union,EUU,FALSE,,,69.2795439452,69.5893701196,69.5145683758,69.7593007426,70.226036023,70.3368955658,70.56733338,70.6772589772,70.7234562788,70.678863563,70.997916464,71.1060040176,71.4138148303,71.5339613529,71.824546449,71.9202690473,72.12487553,72.4087398139,72.5241988944,72.7683228727,72.8627029963,73.2023528803,73.4639521621,73.527533812,73.8030173711,73.8772367547,74.1449759886,74.3868887215,74.5745765224,74.7376016273,74.8592399444,74.9677918603,75.2868178407,75.3935942456,75.6892683177,75.8133933,76.0655494162,76.3587071114,76.5936293284,76.8235723023,77.1574640334,77.4926334131,77.6054820706,77.692907558,78.1922340193,78.3638710721,78.7377506814,78.9682102701,79.1830510497,79.4411175693,79.7247490711,80.2896981675,80.3078602965,80.589533643,80.6738136414,,
Euro area,EMU,FALSE,,,69.2737110113,69.6443651461,69.6028154591,69.7724260242,70.2323403567,70.3186910669,70.5954742417,70.7356602295,70.7859815432,70.7926902707,71.1569715757,71.2647898044,71.6038368682,71.6988801266,72.024487572,72.1677106115,72.4332870697,72.7887765259,73.0104513331,73.3337618488,73.5275822544,73.8109355274,74.1540142186,74.2292061565,74.5879915845,74.7576403522,75.0565675443,75.3458676897,75.5303692222,75.7517958022,75.8968273502,76.0234004355,76.3785895418,76.4856542996,76.7937489774,76.953961822,77.2169410821,77.579727276,77.7954733812,78.0201424787,78.2741263538,78.5967704227,78.6843430208,78.7070550645,79.2785640987,79.4261444892,79.8559929452,80.0997517287,80.3027925818,80.5034131265,80.7466582056,81.3031022401,81.3122545427,81.594048883,81.6486694371,,
Bulgaria,BGR,FALSE,Europe & Central Asia,Upper middle income,69.2475609756,70.1956097561,69.4919512195,70.3092682927,71.1212195122,71.293902439,71.2234146341,70.413902439,71.2251219512,70.43,71.2563414634,70.8736585366,70.8995121951,71.342195122,71.2080487805,71.0497560976,71.3948780488,70.816097561,71.1846341463,71.3082926829,71.1575609756,71.5719512195,71.186097561,71.3863414634,71.4997560976,71.2280487805,71.7307317073,71.5268292683,71.6043902439,71.7224390244,71.6414634146,71.5609756098,71.4943902439,71.3468292683,71.2087804878,71.0534146341,70.8973170732,70.3512195122,71.0609756098,71.412195122,71.6634146341,71.7682926829,71.8658536585,72.0658536585,72.5634146341,72.5609756098,72.612195122,72.6634146341,72.9634146341,73.412195122,73.512195122,74.1634146341,74.3146341463,74.8609756098,75.4073170732,,
Italy,ITA,TRUE,Europe & Central Asia,High income,69.123902439,69.7602439024,69.1497560976,69.2480487805,70.3117073171,70.1717073171,70.926097561,70.9565853659,70.78,70.8119512195,71.5587804878,71.8068292683,72.0753658537,72.0263414634,72.7343902439,72.6473170732,72.9919512195,73.3646341463,73.6931707317,74.0026829268,73.9431707317,74.353902439,74.8146341463,74.6402439024,75.3895121951,75.4707317073,75.7707317073,76.2195121951,76.3707317073,76.8195121951,76.9707317073,77.0195121951,77.4195121951,77.7219512195,77.9219512195,78.1707317073,78.5219512195,78.8243902439,78.9756097561,79.4243902439,79.7780487805,80.1268292683,80.2292682927,79.9829268293,80.7804878049,80.7829268293,81.2829268293,81.4341463415,81.4853658537,81.6365853659,82.0365853659,82.187804878,82.2390243902,82.6902439024,82.6902439024,,
Spain,ESP,TRUE,Europe & Central Asia,High income,69.1092682927,69.4804878049,69.5190243902,69.6812195122,70.3997560976,70.8092682927,71.0551219512,71.2529268293,71.537804878,71.0575609756,72.0273170732,71.6302439024,72.8180487805,72.6107317073,72.9697560976,73.3187804878,73.6426829268,74.1319512195,74.2956097561,74.8187804878,75.3492682927,75.5285365854,76.1341463415,75.9090243902,76.2953658537,76.2595121951,76.5104878049,76.7280487805,76.7470731707,76.8136585366,76.8375609756,76.9712195122,77.41,77.5465853659,77.9014634146,77.9807317073,78.1204878049,78.6041463415,78.6658536585,78.7170731707,78.9658536585,79.3682926829,79.5682926829,79.6195121951,79.8707317073,80.1707317073,80.8219512195,80.8731707317,81.1756097561,81.4756097561,81.6268292683,82.4756097561,82.4268292683,83.0780487805,83.0780487805,,
Slovenia,SVN,TRUE,Europe & Central Asia,High income,68.9780487805,68.9780487805,68.9780487805,68.6219512195,68.6634146341,68.3658536585,69.012195122,69.3658536585,68.9170731707,68.3609756098,68.6097560976,68.8341463415,69.0585365854,69.4048780488,70.1609756098,70.3585365854,70.3073170732,70.556097561,70.7024390244,70.8536585366,71.1048780488,71.2048780488,71.0536585366,70.5414634146,70.9024390244,71.3512195122,71.8024390244,72.0024390244,72.4463414634,72.7048780488,73.2048780488,73.3536585366,73.3048780488,73.2536585366,73.4048780488,73.9585365854,74.4585365854,74.7073170732,74.8073170732,75.0097560976,75.412195122,75.7585365854,76.0073170732,76.8585365854,77.2073170732,77.612195122,78.0865853659,78.5609756098,78.7658536585,78.9707317073,79.4219512195,79.9707317073,80.1243902439,80.3219512195,80.5195121951,,
Finland,FIN,TRUE,Europe & Central Asia,High income,68.8197560976,68.8441463415,68.577804878,69.0126829268,69.2209756098,68.977804878,69.4770731707,69.6665853659,69.6163414634,69.5034146341,70.1795121951,70.0175609756,70.7073170732,71.2236585366,71.1348780488,71.6736585366,71.8129268293,72.3502439024,72.8970731707,73.1553658537,73.44,73.7465853659,74.2980487805,74.2009756098,74.5190243902,74.2229268293,74.56,74.5919512195,74.5770731707,74.792195122,74.8131707317,75.2275609756,75.4553658537,75.7051219512,76.3956097561,76.4095121951,76.6934146341,76.8785365854,77.0907317073,77.2912195122,77.4658536585,77.9658536585,78.1195121951,78.3682926829,78.7146341463,78.8170731707,79.2146341463,79.2634146341,79.5682926829,79.7195121951,79.8707317073,80.4707317073,80.6268292683,80.9756097561,81.1292682927,,
Post-demographic dividend,PST,FALSE,,,68.7292519391,69.135479266,69.1443628566,69.3575948102,69.7728652375,69.8686698568,70.1214634212,70.3710913744,70.3014621255,70.5055340377,70.8294073545,71.1039274327,71.3405459213,71.5013543642,71.8801461436,72.2281886039,72.4635115976,72.8029880314,72.9389855613,73.2326136419,73.2638597155,73.5818407313,73.9016119535,74.0119695292,74.305901105,74.4452054162,74.6942706373,74.9870768818,75.0836223581,75.3364505174,75.4604229266,75.563878007,75.7945594929,75.8054104909,76.0561832112,76.076907451,76.4168705175,76.7498273482,76.9621988505,77.1217771785,77.3601930838,77.6664268655,77.7904744081,77.9161259696,78.3541486157,78.4471695569,78.7739945165,79.0261899061,79.174509827,79.497515962,79.7133517998,79.9941805434,80.1307070431,80.3470145775,80.472159771,,
Puerto Rico,PRI,FALSE,Latin America & Caribbean,High income,68.7196097561,68.9426585366,69.1449268293,69.3549756098,69.5922682927,69.8697317073,70.186195122,70.5245365854,70.8672195122,71.2082439024,71.5437317073,71.8698536585,72.1822682927,72.4780487805,72.7512195122,72.9942439024,73.2005609756,73.369,73.5038536585,73.6100243902,73.7022926829,73.7984878049,73.9085853659,74.0366341463,74.1776341463,74.3086829268,74.4003902439,74.4304634146,74.3935853659,74.2989512195,74.1691707317,74.038804878,73.9463658537,73.9208780488,73.976902439,74.1250731707,74.3624878049,74.6666341463,75.0114146341,75.3811707317,76.6892682927,77.0668292683,77.7604878049,78.0712195122,78.1758536585,78.296097561,78.4163414634,78.4258536585,77.9064634146,78.1532682927,78.4116341463,78.6731707317,78.9254146341,79.1594390244,79.3747317073,,
Austria,AUT,TRUE,Europe & Central Asia,High income,68.5856097561,69.5773170732,69.3095121951,69.4436585366,69.9219512195,69.722195122,70.0458536585,69.917804878,70.0575609756,69.8331707317,69.9146341463,70.1146341463,70.4634146341,71.0146341463,71.012195122,71.1146341463,71.5658536585,71.9146341463,72.012195122,72.312195122,72.4634146341,72.812195122,72.9609756098,73.012195122,73.612195122,73.8146341463,74.3170731707,74.7682926829,75.2170731707,75.2658536585,75.5682926829,75.6170731707,75.8170731707,76.0682926829,76.4195121951,76.6682926829,76.8707317073,77.3195121951,77.6707317073,77.8756097561,78.1268292683,78.5756097561,78.6780487805,78.6317073171,79.1804878049,79.3317073171,79.8804878049,80.1804878049,80.4317073171,80.3317073171,80.5804878049,80.9829268293,80.9365853659,81.1365853659,81.3365853659,,
High income,HIC,FALSE,,,68.478482139,68.8647139086,68.8475229673,69.0639683564,69.4703125139,69.5856216319,69.855634351,70.0869181731,70.0334633847,70.2389759615,70.5643297528,70.8434310639,71.1366673046,71.3061562959,71.7154565981,72.0625053968,72.3196240301,72.6683509023,72.8218460857,73.1429960533,73.1664622189,73.5219873048,73.8463171927,73.9478006611,74.2309582337,74.3556780581,74.6045889059,74.8793607218,74.9928572505,75.2420561789,75.3998405188,75.5783349793,75.8309941089,75.913904685,76.1993073514,76.2664420185,76.6419868629,76.9745071169,77.1588155671,77.3152243069,77.5953499422,77.8991607991,78.043419984,78.1690380236,78.5944903078,78.6934576779,79.0054182973,79.2386203249,79.3916987867,79.672879605,79.8600821667,80.1161598779,80.2401713781,80.4502594482,80.5804062708,,
